,X,Y,KMean2,KMean3,KMean4,KMean5,KMean6
2015442,-73.8722541976,40.8344755223,0,0,2,1,5
2015455,-73.9373432622,40.8209154626,0,0,2,4,3
2015456,-73.9902016973,40.7216301652,1,1,0,2,1
2015457,-73.9633199026,40.6455122106,1,1,1,2,2
2015458,-73.8806180274,40.8416262246,0,0,2,1,5
2015459,-73.9221844547,40.8475546439,0,0,2,1,3
2015461,-73.9519406841,40.8046901865,0,0,0,4,3
2015472,-73.888856242,40.8125432012,0,0,2,1,5
2015473,-73.8882958929,40.6793344096,1,2,3,2,0
2015483,-73.9775620789,40.74934766,1,1,0,4,1
2015522,-73.9065982349,40.8609207625,0,0,2,1,5
2015523,-73.8952039913,40.864997834,0,0,2,1,5
2015525,-73.8644285944,40.8885838734,0,0,2,1,5
2015527,-73.8678154895,40.8786465319,0,0,2,1,5
2015529,-73.9381952675,40.8177402825,0,0,2,4,3
2015530,-73.9427644485,40.6635370355,1,1,1,2,2
2015532,-73.8593315153,40.8959719603,0,0,2,1,5
2015535,-73.9551833493,40.6077108212,1,1,1,0,2
2015537,-73.9033857932,40.840011695,0,0,2,1,5
2015539,-73.949189128,40.8035334771,0,0,0,4,3
2015544,-73.9371184781,40.8293855352,0,0,2,4,3
2015545,-73.9451507339,40.8299660251,0,0,2,4,3
2015547,-73.8806377029,40.8266318716,0,0,2,1,5
2015548,-73.7653244542,40.7132696417,0,2,3,3,0
2015549,-73.9683828644,40.5769981583,1,1,1,0,2
2015602,-73.8568932616,40.8222050643,0,0,2,1,5
2015604,-73.8562704102,40.8312179458,0,0,2,1,5
2015606,-73.961273243,40.6514924231,1,1,1,2,2
2015607,-73.9260147097,40.8647609571,0,0,2,1,5
2015608,-73.8684130292,40.8635870626,0,0,2,1,5
2015610,-73.8872270146,40.7442991917,0,2,3,3,0
2015611,-74.0066225021,40.6743270777,1,1,1,2,1
2015613,-73.9528479256,40.6814677432,1,1,1,2,1
2015614,-73.9951535213,40.741455844,1,1,0,4,1
2015617,-73.9257223213,40.7672435937,0,0,0,4,3
2015618,-73.9169776339,40.8375794866,0,0,2,1,3
2015621,-73.9582194247,40.6364224843,1,1,1,2,2
2015622,-73.9272992487,40.7645629863,0,0,0,4,3
2015623,-74.0408109358,40.6239395314,1,1,1,0,4
2015630,-73.951437518,40.8259752837,0,0,2,4,3
2015631,-73.897524203,40.8843362869,0,0,2,1,5
2015632,-73.9529020112,40.6814622758,1,1,1,2,1
2015634,-73.9034808349,40.8542156341,0,0,2,1,5
2015637,-73.8895065824,40.6732311954,1,2,3,2,0
2015638,-73.9187447145,40.7785005507,0,0,0,4,3
2015639,-73.9672780374,40.5763555649,1,1,1,0,2
2015641,-73.9466336027,40.6255620498,1,1,1,2,2
2015643,-73.921292364,40.6850790754,1,1,1,2,1
2015646,-73.9389093932,40.8269354673,0,0,2,4,3
2015651,-73.8301223996,40.7661981063,0,2,3,3,0
2015652,-73.9272031623,40.8557755648,0,0,2,1,3
2015656,-73.973875916,40.6420868566,1,1,1,2,2
2015657,-73.900621825,40.8733629732,0,0,2,1,5
2015686,-73.898373128,40.8470997154,0,0,2,1,5
2015689,-74.0069900239,40.7068662993,1,1,0,2,1
2015698,-73.971927728,40.6392126067,1,1,1,2,2
2015701,-73.9861686595,40.7724103488,0,0,0,4,1
2015708,-73.8783380363,40.8848144466,0,0,2,1,5
2015713,-73.9196133737,40.8365877682,0,0,2,1,3
2015714,-73.9414199512,40.8441570901,0,0,2,1,3
2015715,-73.9404008568,40.8198082173,0,0,2,4,3
2015716,-73.8770122342,40.7100451222,1,2,3,3,0
2015719,-73.8860180851,40.8349812501,0,0,2,1,5
2015722,-73.9415055066,40.8002938015,0,0,0,4,3
